maṇḍala,sūkta,ṛca,paṅktī,index,IAST,Griffith,Devanāgarī,m-s-r,pada pāṭha
4,1,1,a,4-1-1-A,tvāṁ hy agne sadam it samanyavo devāso devam aratiṁ nyerira iti kratvā nyerire,"THEE Agni, have the Gods, ever of one accord, sent hither down, a God, appointed messenger, yea, with their wisdom sent thee down.",त्वां ह्यग्ने सदमित्समन्यवो देवासो देवमरतिं न्येरिर इति क्रत्वा न्येरिरे,4-1-1,tvām | hi | agne | sadam | it | sa-manyavaḥ | devāsaḥ | devam | aratim | ni-erire | iti | kratvā | ni-erire || amartyam | yajata | martyeṣu | ā | devam | ā-devam | janata | pra-cetasam | viśvam | ā-devam | janata | pra-cetasam ||4.1.1||
4,1,1,b,4-1-1-B,amartyaṁ yajata martyeṣv ā devam ādevaṁ janata pracetasaṁ viśvam ādevaṁ janata pracetasam,"The Immortal, O thou Holy One, mid mortal men, the God-devoted God, the wise, have they brought forth, brought forth the omnipresent God-devoted Sage.",अमर्त्यं यजत मर्त्येष्वा देवमादेवं जनत प्रचेतसं विश्वमादेवं जनत प्रचेतसम्,4-1-1,tvām | hi | agne | sadam | it | sa-manyavaḥ | devāsaḥ | devam | aratim | ni-erire | iti | kratvā | ni-erire || amartyam | yajata | martyeṣu | ā | devam | ā-devam | janata | pra-cetasam | viśvam | ā-devam | janata | pra-cetasam ||4.1.1||
4,1,2,a,4-1-2-A,sa bhrātaraṁ varuṇam agna ā vavṛtsva devām̐ acchā sumatī yajñavanasaṁ jyeṣṭhaṁ yajñavanasam,"As such, O Agni, bring with favour to the Gods thy Brother Varuna who loveth sacrifice,",स भ्रातरं वरुणमग्न आ ववृत्स्व देवाँ अच्छा सुमती यज्ञवनसं ज्येष्ठं यज्ञवनसम्,4-1-2,saḥ | bhrātaram | varuṇam | agne | ā | vavr̥tsva | devān | accha | su-matī | yajña-vanasam | jyeṣṭham | yajña-vanasam || r̥ta-vānam | ādityam | carṣaṇi-dhr̥tam | rājānam | carṣaṇi-dhr̥tam ||4.1.2||
4,1,2,b,4-1-2-B,ṛtāvānam ādityaṁ carṣaṇīdhṛtaṁ rājānaṁ carṣaṇīdhṛtam,"True to the Law, the Aditya who supporteth men, the King, supporter of mankind.",ऋतावानमादित्यं चर्षणीधृतं राजानं चर्षणीधृतम्,4-1-2,saḥ | bhrātaram | varuṇam | agne | ā | vavr̥tsva | devān | accha | su-matī | yajña-vanasam | jyeṣṭham | yajña-vanasam || r̥ta-vānam | ādityam | carṣaṇi-dhr̥tam | rājānam | carṣaṇi-dhr̥tam ||4.1.2||
4,1,3,a,4-1-3-A,sakhe sakhāyam abhy ā vavṛtsvāśuṁ na cakraṁ rathyeva raṁhyāsmabhyaṁ dasma raṁhyā,"Do thou, O Friend, turn hither him who is our Friend, swift as a wheel, like two car-steeds in rapid course, Wondrous! to us in rapid course.",सखे सखायमभ्या ववृत्स्वाशुं न चक्रं रथ्येव रंह्यास्मभ्यं दस्म रंह्या,4-1-3,sakhe | sakhāyam | abhi | ā | vavr̥tsva | āśum | na | cakram | rathyā-iva | raṁhyā | asmabhyam | dasma | raṁhyā || agne | mr̥ḷīkam | varuṇe | sacā | vidaḥ | marut-su | viśva-bhānuṣu || tokāya | tuje | śuśucāna | śam | kr̥dhi | asmabhyam | dasma | śam | kr̥dhi ||4.1.3||
4,1,3,b,4-1-3-B,agne mṛḻīkaṁ varuṇe sacā vido marutsu viśvabhānuṣu,"O Agni, find thou grace for us with Varuna, with Maruts who illumine all.",अग्ने मृळीकं वरुणे सचा विदो मरुत्सु विश्वभानुषु,4-1-3,sakhe | sakhāyam | abhi | ā | vavr̥tsva | āśum | na | cakram | rathyā-iva | raṁhyā | asmabhyam | dasma | raṁhyā || agne | mr̥ḷīkam | varuṇe | sacā | vidaḥ | marut-su | viśva-bhānuṣu || tokāya | tuje | śuśucāna | śam | kr̥dhi | asmabhyam | dasma | śam | kr̥dhi ||4.1.3||
4,1,3,c,4-1-3-C,tokāya tuje śuśucāna śaṁ kṛdhy asmabhyaṁ dasma śaṁ kṛdhi,"Bless us, thou Radiant One, for seed and progeny, yea, bless us, O thou Wondrous God.",तोकाय तुजे शुशुचान शं कृध्यस्मभ्यं दस्म शं कृधि,4-1-3,sakhe | sakhāyam | abhi | ā | vavr̥tsva | āśum | na | cakram | rathyā-iva | raṁhyā | asmabhyam | dasma | raṁhyā || agne | mr̥ḷīkam | varuṇe | sacā | vidaḥ | marut-su | viśva-bhānuṣu || tokāya | tuje | śuśucāna | śam | kr̥dhi | asmabhyam | dasma | śam | kr̥dhi ||4.1.3||
4,1,4,a,4-1-4-A,tvaṁ no agne varuṇasya vidvān devasya heḻo 'va yāsisīṣṭhāḥ,"Do thou who knowest Varuna, O Agni, put far away from us the God's displeasure.",त्वं नो अग्ने वरुणस्य विद्वान्देवस्य हेळोऽव यासिसीष्ठाः,4-1-4,tvam | naḥ | agne | varuṇasya | vidvān | devasya | heḷaḥ | ava | yāsisīṣṭhāḥ || yajiṣṭhaḥ | vahni-tamaḥ | śośucānaḥ | viśvā | dveṣāṁsi | pra | mumugdhi | asmat ||4.1.4||
4,1,4,b,4-1-4-B,yajiṣṭho vahnitamaḥ śośucāno viśvā dveṣāṁsi pra mumugdhy asmat,"Best Sacrificer, brightest One, refulgent remove thou far from us all those who hate us.",यजिष्ठो वह्नितमः शोशुचानो विश्वा द्वेषांसि प्र मुमुग्ध्यस्मत्,4-1-4,tvam | naḥ | agne | varuṇasya | vidvān | devasya | heḷaḥ | ava | yāsisīṣṭhāḥ || yajiṣṭhaḥ | vahni-tamaḥ | śośucānaḥ | viśvā | dveṣāṁsi | pra | mumugdhi | asmat ||4.1.4||
4,1,5,a,4-1-5-A,sa tvaṁ no agne 'vamo bhavotī nediṣṭho asyā uṣaso vyuṣṭau,"Be thou, O Agni, nearest us with succour, our closest Friend while now this Morn is breaking.",स त्वं नो अग्नेऽवमो भवोती नेदिष्ठो अस्या उषसो व्युष्टौ,4-1-5,saḥ | tvam | naḥ | agne | avamaḥ | bhava | ūtī | nediṣṭhaḥ | asyāḥ | uṣasaḥ | vi-uṣṭau || ava | yakṣva | naḥ | varuṇam | rarāṇaḥ | vīhi | mr̥ḷīkam | su-havaḥ | naḥ | edhi ||4.1.5||
4,1,5,b,4-1-5-B,ava yakṣva no varuṇaṁ rarāṇo vīhi mṛḻīkaṁ suhavo na edhi,"Reconcile to us Varuna, be bounteous enjoy the gracious juice; be swift to hear us.",अव यक्ष्व नो वरुणं रराणो वीहि मृळीकं सुहवो न एधि,4-1-5,saḥ | tvam | naḥ | agne | avamaḥ | bhava | ūtī | nediṣṭhaḥ | asyāḥ | uṣasaḥ | vi-uṣṭau || ava | yakṣva | naḥ | varuṇam | rarāṇaḥ | vīhi | mr̥ḷīkam | su-havaḥ | naḥ | edhi ||4.1.5||
4,1,6,a,4-1-6-A,asya śreṣṭhā subhagasya saṁdṛg devasya citratamā martyeṣu,"Excellent is the glance, of brightest splendour, which the auspicious God bestows on mortals-",अस्य श्रेष्ठा सुभगस्य संदृग्देवस्य चित्रतमा मर्त्येषु,4-1-6,asya | śreṣṭhā | su-bhagasya | sam-dr̥k | devasya | citra-tamā | martyeṣu || śuci | ghr̥tam | na | taptam | aghnyāyāḥ | spārhā | devasya | maṁhanā-iva | dhenoḥ ||4.1.6||
4,1,6,b,4-1-6-B,śuci ghṛtaṁ na taptam aghnyāyāḥ spārhā devasya maṁhaneva dhenoḥ,"The God's glance, longed-for even as the butter, pure, heated, of the cow, the milch-cow's bounty.",शुचि घृतं न तप्तमघ्न्यायाः स्पार्हा देवस्य मंहनेव धेनोः,4-1-6,asya | śreṣṭhā | su-bhagasya | sam-dr̥k | devasya | citra-tamā | martyeṣu || śuci | ghr̥tam | na | taptam | aghnyāyāḥ | spārhā | devasya | maṁhanā-iva | dhenoḥ ||4.1.6||
