maṇḍala,sūkta,ṛca,paṅktī,index,IAST,Griffith,Devanāgarī,m-s-r,pada pāṭha
3,1,1,a,3-1-1-A,somasya mā tavasaṁ vakṣy agne vahniṁ cakartha vidathe yajadhyai,"THOU, Agni, who wilt have the strong, hast made me the Soma's priest, to worship in assembly.",सोमस्य मा तवसं वक्ष्यग्ने वह्निं चकर्थ विदथे यजध्यै,3-1-1,somasya | mā | tavasam | vakṣi | agne | vahnim | cakartha | vidathe | yajadhyai || devān | accha | dīdyat | yuñje | adrim | śam-āye | agne | tanvam | juṣasva ||3.1.1||
3,1,1,b,3-1-1-B,devām̐ acchā dīdyad yuñje adriṁ śamāye agne tanvaṁ juṣasva,"Thou shinest to the Gods, I set the pressstones. I toil; be joyful in thyself, O Agni.",देवाँ अच्छा दीद्यद्युञ्जे अद्रिं शमाये अग्ने तन्वं जुषस्व,3-1-1,somasya | mā | tavasam | vakṣi | agne | vahnim | cakartha | vidathe | yajadhyai || devān | accha | dīdyat | yuñje | adrim | śam-āye | agne | tanvam | juṣasva ||3.1.1||
3,1,2,a,3-1-2-A,prāñcaṁ yajñaṁ cakṛma vardhatāṁ gīḥ samidbhir agniṁ namasā duvasyan,East have we turned the rite; may the hymn aid it. With wood and worship shall they honour Agni.,प्राञ्चं यज्ञं चकृम वर्धतां गीः समिद्भिरग्निं नमसा दुवस्यन्,3-1-2,prāñcam | yajñam | cakr̥ma | vardhatām | gīḥ | samit-bhiḥ | agnim | namasā | duvasyan || divaḥ | śaśāsuḥ | vidathā | kavīnām | gr̥tsāya | cit | tavase | gātum | īṣuḥ ||3.1.2||
3,1,2,b,3-1-2-B,divaḥ śaśāsur vidathā kavīnāṁ gṛtsāya cit tavase gātum īṣuḥ,From heaven the synods of the wise have learnt it: c'en for the quick and strong they seek advancement.,दिवः शशासुर्विदथा कवीनां गृत्साय चित्तवसे गातुमीषुः,3-1-2,prāñcam | yajñam | cakr̥ma | vardhatām | gīḥ | samit-bhiḥ | agnim | namasā | duvasyan || divaḥ | śaśāsuḥ | vidathā | kavīnām | gr̥tsāya | cit | tavase | gātum | īṣuḥ ||3.1.2||
3,1,3,a,3-1-3-A,mayo dadhe medhiraḥ pūtadakṣo divaḥ subandhur januṣā pṛthivyāḥ,"The Prudent, he whose will is pure, brought welfare, allied by birth to Heaven and Earth in kinship.",मयो दधे मेधिरः पूतदक्षो दिवः सुबन्धुर्जनुषा पृथिव्याः,3-1-3,mayaḥ | dadhe | medhiraḥ | pūta-dakṣaḥ | divaḥ | su-bandhuḥ | januṣā | pr̥thivyāḥ || avindan | ūm̐ iti | darśatam | ap-su | antaḥ | devāsaḥ | agnim | apasi | svasr̥̄ṇām ||3.1.3||
3,1,3,b,3-1-3-B,avindann u darśatam apsv antar devāso agnim apasi svasṝṇām,The Gods discovered in the midst of waters beautiful Agni with the Sisters' labour.,अविन्दन्नु दर्शतमप्स्वन्तर्देवासो अग्निमपसि स्वसॄणाम्,3-1-3,mayaḥ | dadhe | medhiraḥ | pūta-dakṣaḥ | divaḥ | su-bandhuḥ | januṣā | pr̥thivyāḥ || avindan | ūm̐ iti | darśatam | ap-su | antaḥ | devāsaḥ | agnim | apasi | svasr̥̄ṇām ||3.1.3||
3,1,4,a,3-1-4-A,avardhayan subhagaṁ sapta yahvīḥ śvetaṁ jajñānam aruṣam mahitvā,"Him, Blessed One, the Seven strong Floods augmented, him white at birth and red when waxen mighty.",अवर्धयन्सुभगं सप्त यह्वीः श्वेतं जज्ञानमरुषं महित्वा,3-1-4,avardhayan | su-bhagam | sapta | yahvīḥ | śvetam | jajñānam | aruṣam | mahi-tvā || śiśum | na | jātam | abhi | āruḥ | aśvāḥ | devāsaḥ | agnim | janiman | vapuṣyan ||3.1.4||
3,1,4,b,3-1-4-B,śiśuṁ na jātam abhy ārur aśvā devāso agniṁ janiman vapuṣyan,"As mother mares run to their new-born you ling, so at his birth the Gods wondered at Agni.",शिशुं न जातमभ्यारुरश्वा देवासो अग्निं जनिमन्वपुष्यन्,3-1-4,avardhayan | su-bhagam | sapta | yahvīḥ | śvetam | jajñānam | aruṣam | mahi-tvā || śiśum | na | jātam | abhi | āruḥ | aśvāḥ | devāsaḥ | agnim | janiman | vapuṣyan ||3.1.4||
3,1,5,a,3-1-5-A,śukrebhir aṅgai raja ātatanvān kratum punānaḥ kavibhiḥ pavitraiḥ,"Spreading with radiant limbs throughout the region, purging his power with wise purifications,",शुक्रेभिरङ्गै रज आततन्वान्क्रतुं पुनानः कविभिः पवित्रैः,3-1-5,śukrebhiḥ | aṅgaiḥ | rajaḥ | ā-tatanvān | kratum | punānaḥ | kavi-bhiḥ | pavitraiḥ || śociḥ | vasānaḥ | pari | āyuḥ | apām | śriyaḥ | mimīte | br̥hatīḥ | anūnāḥ ||3.1.5||
3,1,5,b,3-1-5-B,śocir vasānaḥ pary āyur apāṁ śriyo mimīte bṛhatīr anūnāḥ,"Robing himself in light, the life of waters, lie spreads abroad his high and perfect glories.",शोचिर्वसानः पर्यायुरपां श्रियो मिमीते बृहतीरनूनाः,3-1-5,śukrebhiḥ | aṅgaiḥ | rajaḥ | ā-tatanvān | kratum | punānaḥ | kavi-bhiḥ | pavitraiḥ || śociḥ | vasānaḥ | pari | āyuḥ | apām | śriyaḥ | mimīte | br̥hatīḥ | anūnāḥ ||3.1.5||
3,1,6,a,3-1-6-A,vavrājā sīm anadatīr adabdhā divo yahvīr avasānā anagnāḥ,"He sought heaven's Mighty Ones, the unconsuming, the unimpaired, not clothed and yet not naked.",वव्राजा सीमनदतीरदब्धा दिवो यह्वीरवसाना अनग्नाः,3-1-6,vavrāja | sīm | anadatīḥ | adabdhāḥ | divaḥ | yahvīḥ | avasānāḥ | anagnāḥ || sanāḥ | atra | yuvatayaḥ | sa-yonīḥ | ekam | garbham | dadhire | sapta | vāṇīḥ ||3.1.6||
3,1,6,b,3-1-6-B,sanā atra yuvatayaḥ sayonīr ekaṁ garbhaṁ dadhire sapta vāṇīḥ,"Then they, ancient and young, who dwell together, Seven sounding Rivers, as one germ received him.",सना अत्र युवतयः सयोनीरेकं गर्भं दधिरे सप्त वाणीः,3-1-6,vavrāja | sīm | anadatīḥ | adabdhāḥ | divaḥ | yahvīḥ | avasānāḥ | anagnāḥ || sanāḥ | atra | yuvatayaḥ | sa-yonīḥ | ekam | garbham | dadhire | sapta | vāṇīḥ ||3.1.6||
3,1,7,a,3-1-7-A,stīrṇā asya saṁhato viśvarūpā ghṛtasya yonau sravathe madhūnām,"His piles, assuming every form, are scattered where flow sweet waters, at the spring of fatness;",स्तीर्णा अस्य संहतो विश्वरूपा घृतस्य योनौ स्रवथे मधूनाम्,3-1-7,stīrṇāḥ | asya | sam-hataḥ | viśva-rūpāḥ | ghr̥tasya | yonau | sravathe | madhūnām || asthuḥ | atra | dhenavaḥ | pinvamānāḥ | mahī iti | dasmasya | mātarā | samīcī iti sam-īcī ||3.1.7||
3,1,7,b,3-1-7-B,asthur atra dhenavaḥ pinvamānā mahī dasmasya mātarā samīcī,"There stood the milch-kine with full-laden udders, and both paired Mighty Mothers of the Wondrous.",अस्थुरत्र धेनवः पिन्वमाना मही दस्मस्य मातरा समीची,3-1-7,stīrṇāḥ | asya | sam-hataḥ | viśva-rūpāḥ | ghr̥tasya | yonau | sravathe | madhūnām || asthuḥ | atra | dhenavaḥ | pinvamānāḥ | mahī iti | dasmasya | mātarā | samīcī iti sam-īcī ||3.1.7||
3,1,8,a,3-1-8-A,babhrāṇaḥ sūno sahaso vy adyaud dadhānaḥ śukrā rabhasā vapūṁṣi,"Carefully cherished, Son of Strength, thou shoncst assuming lasting and refulgent beauties.",बभ्राणः सूनो सहसो व्यद्यौद्दधानः शुक्रा रभसा वपूंषि,3-1-8,babhrāṇaḥ | sūno iti | sahasaḥ | vi | adyaut | dadhānaḥ | śukrā | rabhasā | vapūṁṣi || ścotanti | dhārāḥ | madhunaḥ | ghr̥tasya | vr̥ṣā | yatra | vavr̥dhe | kāvyena ||3.1.8||
3,1,8,b,3-1-8-B,ścotanti dhārā madhuno ghṛtasya vṛṣā yatra vāvṛdhe kāvyena,"Full streams of fatness and sweet juice descended, there where the Mighty One grew strong by wisdom.",श्चोतन्ति धारा मधुनो घृतस्य वृषा यत्र वावृधे काव्येन,3-1-8,babhrāṇaḥ | sūno iti | sahasaḥ | vi | adyaut | dadhānaḥ | śukrā | rabhasā | vapūṁṣi || ścotanti | dhārāḥ | madhunaḥ | ghr̥tasya | vr̥ṣā | yatra | vavr̥dhe | kāvyena ||3.1.8||
3,1,9,a,3-1-9-A,pituś cid ūdhar januṣā viveda vy asya dhārā asṛjad vi dhenāḥ,"From birth he knew even his Father's bosom, he set his voices and his streams in motion;",पितुश्चिदूधर्जनुषा विवेद व्यस्य धारा असृजद्वि धेनाः,3-1-9,pituḥ | cit | ūdhaḥ | januṣā | viveda | vi | asya | dhārāḥ | asr̥jat | vi | dhenāḥ || guhā | carantam | sakhi-bhiḥ | śivebhiḥ | divaḥ | yahvībhiḥ | na | guhā | babhūva ||3.1.9||
3,1,9,b,3-1-9-B,guhā carantaṁ sakhibhiḥ śivebhir divo yahvībhir na guhā babhūva,"Knew him who moved with blessed Friends in secret, with the young Dames of heaven. He stayed not hidden.",गुहा चरन्तं सखिभिः शिवेभिर्दिवो यह्वीभिर्न गुहा बभूव,3-1-9,pituḥ | cit | ūdhaḥ | januṣā | viveda | vi | asya | dhārāḥ | asr̥jat | vi | dhenāḥ || guhā | carantam | sakhi-bhiḥ | śivebhiḥ | divaḥ | yahvībhiḥ | na | guhā | babhūva ||3.1.9||
3,1,10,a,3-1-10-A,pituś ca garbhaṁ janituś ca babhre pūrvīr eko adhayat pīpyānāḥ,He nursed the Infant of the Sire and Maker: alone the Babe sucked many a teeming bosom.,पितुश्च गर्भं जनितुश्च बभ्रे पूर्वीरेको अधयत्पीप्यानाः,3-1-10,pituḥ | ca | garbham | janituḥ | ca | babhre | pūrvīḥ | ekaḥ | adhayat | pīpyānāḥ || vr̥ṣṇe | sapatnī iti sa-patnī | śucaye | sabandhū iti sa-bandhū | ubhe iti | asmai | manuṣye iti | ni | pāhi ||3.1.10||
3,1,10,b,3-1-10-B,vṛṣṇe sapatnī śucaye sabandhū ubhe asmai manuṣye ni pāhi,"Guard, for the Bright and Strong, the fellow-spouses friendly to men and bound to him in kinship.",वृष्णे सपत्नी शुचये सबन्धू उभे अस्मै मनुष्ये नि पाहि,3-1-10,pituḥ | ca | garbham | janituḥ | ca | babhre | pūrvīḥ | ekaḥ | adhayat | pīpyānāḥ || vr̥ṣṇe | sapatnī iti sa-patnī | śucaye | sabandhū iti sa-bandhū | ubhe iti | asmai | manuṣye iti | ni | pāhi ||3.1.10||
3,1,11,a,3-1-11-A,urau mahām̐ anibādhe vavardhāpo agniṁ yaśasaḥ saṁ hi pūrvīḥ,The Mighty One increased in space unbounded; full many a glorious flood gave strength to Agni.,उरौ महाँ अनिबाधे ववर्धापो अग्निं यशसः सं हि पूर्वीः,3-1-11,urau | mahān | ani-bādhe | vavardha | āpaḥ | agnim | yaśasaḥ | sam | hi | pūrvīḥ || r̥tasya | yonau | aśayat | damūnāḥ | jāmīnām | agniḥ | apasi | svasr̥̄ṇām ||3.1.11||
3,1,11,b,3-1-11-B,ṛtasya yonāv aśayad damūnā jāmīnām agnir apasi svasṝṇām,"Friend of the house, within the lap of Order lay Agni, in the Sister Rivers' service.",ऋतस्य योनावशयद्दमूना जामीनामग्निरपसि स्वसॄणाम्,3-1-11,urau | mahān | ani-bādhe | vavardha | āpaḥ | agnim | yaśasaḥ | sam | hi | pūrvīḥ || r̥tasya | yonau | aśayat | damūnāḥ | jāmīnām | agniḥ | apasi | svasr̥̄ṇām ||3.1.11||
3,1,12,a,3-1-12-A,akro na babhriḥ samithe mahīnāṁ didṛkṣeyaḥ sūnave bhāṛjīkaḥ,"As keen supporter where great waters gather, light-shedder whom the brood rejoice to look on;",अक्रो न बभ्रिः समिथे महीनां दिदृक्षेयः सूनवे भाऋजीकः,3-1-12,akraḥ | na | babhriḥ | sam-ithe | mahīnām | didr̥kṣeyaḥ | sūnave | bhāḥ-r̥jīkaḥ || ut | usriyāḥ | janitā | yaḥ | jajāna | apām | garbhaḥ | nr̥-tamaḥ | yahvaḥ | agniḥ ||3.1.12||
3,1,12,b,3-1-12-B,ud usriyā janitā yo jajānāpāṁ garbho nṛtamo yahvo agniḥ,"He who begat, and will beget, the dawnlights, most manly, Child of Floods, is youthful Agni.",उदुस्रिया जनिता यो जजानापां गर्भो नृतमो यह्वो अग्निः,3-1-12,akraḥ | na | babhriḥ | sam-ithe | mahīnām | didr̥kṣeyaḥ | sūnave | bhāḥ-r̥jīkaḥ || ut | usriyāḥ | janitā | yaḥ | jajāna | apām | garbhaḥ | nr̥-tamaḥ | yahvaḥ | agniḥ ||3.1.12||
3,1,13,a,3-1-13-A,apāṁ garbhaṁ darśatam oṣadhīnāṁ vanā jajāna subhagā virūpam,"Him, varied in his form, the lovely Infant of floods and plants the blessed wood hath gendered.",अपां गर्भं दर्शतमोषधीनां वना जजान सुभगा विरूपम्,3-1-13,apām | garbham | darśatam | oṣadhīnām | vanā | jajāna | su-bhagā | vi-rūpam || devāsaḥ | cit | manasā | sam | hi | jagmuḥ | paniṣṭham | jātam | tavasam | duvasyan ||3.1.13||
3,1,13,b,3-1-13-B,devāsaś cin manasā saṁ hi jagmuḥ paniṣṭhaṁ jātaṁ tavasaṁ duvasyan,"Gods even, moved in spirit, came around him, and served him at his birth, the Strong, the Wondrous.",देवासश्चिन्मनसा सं हि जग्मुः पनिष्ठं जातं तवसं दुवस्यन्,3-1-13,apām | garbham | darśatam | oṣadhīnām | vanā | jajāna | su-bhagā | vi-rūpam || devāsaḥ | cit | manasā | sam | hi | jagmuḥ | paniṣṭham | jātam | tavasam | duvasyan ||3.1.13||
3,1,14,a,3-1-14-A,bṛhanta id bhānavo bhāṛjīkam agniṁ sacanta vidyuto na śukrāḥ,"Like brilliant lightnings, mighty luminaries accompany the light-diffusing Agni,",बृहन्त इद्भानवो भाऋजीकमग्निं सचन्त विद्युतो न शुक्राः,3-1-14,br̥hantaḥ | it | bhānavaḥ | bhāḥ-r̥jīkam | agnim | sacanta | vi-dyutaḥ | na | śukrāḥ || guhā-iva | vr̥ddham | sadasi | sve | antaḥ | apāre | ūrve | amr̥tam | duhānāḥ ||3.1.14||
3,1,14,b,3-1-14-B,guheva vṛddhaṁ sadasi sve antar apāra ūrve amṛtaṁ duhānāḥ,"Waxen, as 'twere in secret, in his dwelling, while in the boundless stall they milk out Amrta.",गुहेव वृद्धं सदसि स्वे अन्तरपार ऊर्वे अमृतं दुहानाः,3-1-14,br̥hantaḥ | it | bhānavaḥ | bhāḥ-r̥jīkam | agnim | sacanta | vi-dyutaḥ | na | śukrāḥ || guhā-iva | vr̥ddham | sadasi | sve | antaḥ | apāre | ūrve | amr̥tam | duhānāḥ ||3.1.14||
3,1,15,a,3-1-15-A,īḻe ca tvā yajamāno havirbhir īḻe sakhitvaṁ sumatiṁ nikāmaḥ,I sacrificing serve thee with oblations and crave with longing thy good-will and friendship.,ईळे च त्वा यजमानो हविर्भिरीळे सखित्वं सुमतिं निकामः,3-1-15,īḷe | ca | tvā | yajamānaḥ | haviḥ-bhiḥ | īḷe | sakhi-tvam | su-matim | ni-kāmaḥ || devaiḥ | avaḥ | mimīhi | sam | jaritre | rakṣa | ca | naḥ | damye-bhiḥ | anīkaiḥ ||3.1.15||
3,1,15,b,3-1-15-B,devair avo mimīhi saṁ jaritre rakṣā ca no damyebhir anīkaiḥ,"Grant, with the Gods, thy grace to him who lauds thee, protect us with thy rays that guard the homestead.",देवैरवो मिमीहि सं जरित्रे रक्षा च नो दम्येभिरनीकैः,3-1-15,īḷe | ca | tvā | yajamānaḥ | haviḥ-bhiḥ | īḷe | sakhi-tvam | su-matim | ni-kāmaḥ || devaiḥ | avaḥ | mimīhi | sam | jaritre | rakṣa | ca | naḥ | damye-bhiḥ | anīkaiḥ ||3.1.15||
3,1,16,a,3-1-16-A,upakṣetāras tava supraṇīte 'gne viśvāni dhanyā dadhānāḥ,"May we, O Agni, thou who leadest wisely, thy followers and masters of all treasures,",उपक्षेतारस्तव सुप्रणीतेऽग्ने विश्वानि धन्या दधानाः,3-1-16,upa-kṣetāraḥ | tava | su-pranīte | agne | viśvāni | dhanyā | dadhānāḥ || su-retasā | śravasā | tuñjamānāḥ | abhi | syāma | pr̥tanā-yūn | adevān ||3.1.16||
3,1,16,b,3-1-16-B,suretasā śravasā tuñjamānā abhi ṣyāma pṛtanāyūm̐r adevān,"Strong in the glory of our noble offspring, subdue the godless when they seek the battle.",सुरेतसा श्रवसा तुञ्जमाना अभि ष्याम पृतनायूँरदेवान्,3-1-16,upa-kṣetāraḥ | tava | su-pranīte | agne | viśvāni | dhanyā | dadhānāḥ || su-retasā | śravasā | tuñjamānāḥ | abhi | syāma | pr̥tanā-yūn | adevān ||3.1.16||
3,1,17,a,3-1-17-A,ā devānām abhavaḥ ketur agne mandro viśvāni kāvyāni vidvān,"Ensign of Gods hast thou become, O Agni, joy-giver, knower of all secret wisdom.",आ देवानामभवः केतुरग्ने मन्द्रो विश्वानि काव्यानि विद्वान्,3-1-17,ā | devānām | abhavaḥ | ketuḥ | agne | mandraḥ | viśvāni | kāvyāni | vidvān || prati | martān | avāsayaḥ | damūnāḥ | anu | devān | rathiraḥ | yāsi | sādhan ||3.1.17||
3,1,17,b,3-1-17-B,prati martām̐ avāsayo damūnā anu devān rathiro yāsi sādhan,"Friend of the homestead, thou hast lightened mortals: carborne thou goest to the Gods, fulfilling.",प्रति मर्ताँ अवासयो दमूना अनु देवान्रथिरो यासि साधन्,3-1-17,ā | devānām | abhavaḥ | ketuḥ | agne | mandraḥ | viśvāni | kāvyāni | vidvān || prati | martān | avāsayaḥ | damūnāḥ | anu | devān | rathiraḥ | yāsi | sādhan ||3.1.17||
3,1,18,a,3-1-18-A,ni duroṇe amṛto martyānāṁ rājā sasāda vidathāni sādhan,"Within the house hath sate the King immortal of mortals, filling full their sacred synods.",नि दुरोणे अमृतो मर्त्यानां राजा ससाद विदथानि साधन्,3-1-18,ni | duroṇe | amr̥taḥ | martyānām | rājā | sasāda | vidathāni | sādhan || ghr̥ta-pratīkaḥ | urviyā | vi | adyaut | agniḥ | viśvāni | kāvyāni | vidvān ||3.1.18||
3,1,18,b,3-1-18-B,ghṛtapratīka urviyā vy adyaud agnir viśvāni kāvyāni vidvān,"Bedewed with holy oil he shineth widely, Agni, the knower of all secret wisdom.",घृतप्रतीक उर्विया व्यद्यौदग्निर्विश्वानि काव्यानि विद्वान्,3-1-18,ni | duroṇe | amr̥taḥ | martyānām | rājā | sasāda | vidathāni | sādhan || ghr̥ta-pratīkaḥ | urviyā | vi | adyaut | agniḥ | viśvāni | kāvyāni | vidvān ||3.1.18||
