maṇḍala,sūkta,ṛca,paṅktī,index,IAST,Griffith,Devanāgarī,m-s-r,pada pāṭha,
7,1,1,a,7-1-1-A,agniṁ naro dīdhitibhir araṇyor hastacyutī janayanta praśastam,"THE men from fire-sticks, with their hands' swift movement, have, in deep thought, engendered glorious Ag",अग्निं नरो दीधितिभिररण्योर्हस्तच्युती जनयन्त प्रशस्तम्,7-1-1,agnim | naraḥ | dīdhiti-bhiḥ | araṇyoḥ | hasta-cyutī | janayanta | pra-śastam || dūre-dr̥śam | gr̥ha-patim | atharyum ||7.1.1||,
7,1,1,b,7-1-1-B,dūredṛśaṁ gṛhapatim atharyum,"Far-seen, with pointed flame, Lord of the homestead.",दूरेदृशं गृहपतिमथर्युम् ,7-1-1,agnim | naraḥ | dīdhiti-bhiḥ | araṇyoḥ | hasta-cyutī | janayanta | pra-śastam || dūre-dr̥śam | gr̥ha-patim | atharyum ||7.1.1||,
7,1,2,a,7-1-2-A,tam agnim aste vasavo ny ṛṇvan supraticakṣam avase kutaś cit,"The Vasus set that Agni in the dwelling, fair to behold, for help from every quarter:",तमग्निमस्ते वसवो न्यृण्वन्सुप्रतिचक्षमवसे कुतश्चित्,7-1-2,tam | agnim | aste | vasavaḥ | ni | r̥ṇvan | su-praticakṣam | avase | kutaḥ | cit || dakṣāyyaḥ | yaḥ | dame | āsa | nityaḥ ||7.1.2||,
7,1,2,b,7-1-2-B,dakṣāyyo yo dama āsa nityaḥ,"Who, in the home for ever, must be honoured.",दक्षाय्यो यो दम आस नित्यः ,7-1-2,tam | agnim | aste | vasavaḥ | ni | r̥ṇvan | su-praticakṣam | avase | kutaḥ | cit || dakṣāyyaḥ | yaḥ | dame | āsa | nityaḥ ||7.1.2||,
7,1,3,a,7-1-3-A,preddho agne dīdihi puro no 'jasrayā sūrmyā yaviṣṭha,"Shine thou before us, Agni, well-enkindled, with flame, Most Youthful God, that never fadeth.",प्रेद्धो अग्ने दीदिहि पुरो नोऽजस्रया सूर्म्या यविष्ठ,7-1-3,pra-iddhaḥ | agne | dīdihi | puraḥ | naḥ | ajasrayā | sūrmyā | yaviṣṭha || tvām | śaśvantaḥ | upa | yanti | vājāḥ ||7.1.3||,
7,1,3,b,7-1-3-B,tvāṁ śaśvanta upa yanti vājāḥ,To thee come all our sacrificial viands.,त्वां शश्वन्त उप यन्ति वाजाः ,7-1-3,pra-iddhaḥ | agne | dīdihi | puraḥ | naḥ | ajasrayā | sūrmyā | yaviṣṭha || tvām | śaśvantaḥ | upa | yanti | vājāḥ ||7.1.3||,
7,1,4,a,7-1-4-A,pra te agnayo 'gnibhyo varaṁ niḥ suvīrāsaḥ śośucanta dyumantaḥ,"Among all fires these fires have shone most brightly, splendid with light, begirt by noble heroes,",प्र ते अग्नयोऽग्निभ्यो वरं निः सुवीरासः शोशुचन्त द्युमन्तः,7-1-4,pra | te | agnayaḥ | agni-bhyaḥ | varam | niḥ | su-vīrāsaḥ | śośucanta | dyu-mantaḥ || yatra | naraḥ | sam-āsate | su-jātāḥ ||7.1.4||,
7,1,4,b,7-1-4-B,yatrā naraḥ samāsate sujātāḥ,Where men of lofty birth sit down together.,यत्रा नरः समासते सुजाताः ,7-1-4,pra | te | agnayaḥ | agni-bhyaḥ | varam | niḥ | su-vīrāsaḥ | śośucanta | dyu-mantaḥ || yatra | naraḥ | sam-āsate | su-jātāḥ ||7.1.4||,
7,1,5,a,7-1-5-A,dā no agne dhiyā rayiṁ suvīraṁ svapatyaṁ sahasya praśastam,"Victorious Agni, grant us wealth with wisdom, wealth with brave sons, famous and independent,",दा नो अग्ने धिया रयिं सुवीरं स्वपत्यं सहस्य प्रशस्तम्,7-1-5,dāḥ | naḥ | agne | dhiyā | rayim | su-vīram | su-apatyam | sahasya | pra-śastam || na | yam | yāvā | tarati | yātu-māvān ||7.1.5||,
7,1,5,b,7-1-5-B,na yaṁ yāvā tarati yātumāvān,Which not a foe who deals in magic conquers.,न यं यावा तरति यातुमावान् ,7-1-5,dāḥ | naḥ | agne | dhiyā | rayim | su-vīram | su-apatyam | sahasya | pra-śastam || na | yam | yāvā | tarati | yātu-māvān ||7.1.5||,
7,1,6,a,7-1-6-A,upa yam eti yuvatiḥ sudakṣaṁ doṣā vastor haviṣmatī ghṛtācī,"To whom, the Strong, at morn and eve comes, maid-like, the ladle dropping oil, with its oblation.",उप यमेति युवतिः सुदक्षं दोषा वस्तोर्हविष्मती घृताची,7-1-6,upa | yam | eti | yuvatiḥ | su-dakṣam | doṣā | vastoḥ | haviṣmatī | ghr̥tācī || upa | svā | enam | aramatiḥ | vasu-yuḥ ||7.1.6||,
7,1,6,b,7-1-6-B,upa svainam aramatir vasūyuḥ,Wealth-seeking comes to him his own devotion.,उप स्वैनमरमतिर्वसूयुः ,7-1-6,upa | yam | eti | yuvatiḥ | su-dakṣam | doṣā | vastoḥ | haviṣmatī | ghr̥tācī || upa | svā | enam | aramatiḥ | vasu-yuḥ ||7.1.6||,
7,1,7,a,7-1-7-A,viśvā agne 'pa dahārātīr yebhis tapobhir adaho jarūtham,"Burn up all malice with those flames, O Agni, wherewith of old thou burntest up Jarutha,",विश्वा अग्नेऽप दहारातीर्येभिस्तपोभिरदहो जरूथम्,7-1-7,viśvāḥ | agne | apa | daha | arātīḥ | yebhiḥ | tapaḥ-bhiḥ | adahaḥ | jarūtham || pra | ni-svaram | cātayasva | amīvām ||7.1.7||,
7,1,7,b,7-1-7-B,pra nisvaraṁ cātayasvāmīvām,And drive away in silence pain and sickness.,प्र निस्वरं चातयस्वामीवाम् ,7-1-7,viśvāḥ | agne | apa | daha | arātīḥ | yebhiḥ | tapaḥ-bhiḥ | adahaḥ | jarūtham || pra | ni-svaram | cātayasva | amīvām ||7.1.7||,
7,1,8,a,7-1-8-A,ā yas te agna idhate anīkaṁ vasiṣṭha śukra dīdivaḥ pāvaka,"With him who lighteth up thy splendour, Agni, excellent, pure, refulgent, Purifier,",आ यस्ते अग्न इधते अनीकं वसिष्ठ शुक्र दीदिवः पावक,7-1-8,ā | yaḥ | te | agne | idhate | anīkam | vasiṣṭha | śukra | dīdi-vaḥ | pāvaka || uto iti | naḥ | ebhiḥ | stavathaiḥ | iha | syāḥ ||7.1.8||,
7,1,8,b,7-1-8-B,uto na ebhiḥ stavathair iha syāḥ,"Be present, and with us through these our praises.",उतो न एभिः स्तवथैरिह स्याः ,7-1-8,ā | yaḥ | te | agne | idhate | anīkam | vasiṣṭha | śukra | dīdi-vaḥ | pāvaka || uto iti | naḥ | ebhiḥ | stavathaiḥ | iha | syāḥ ||7.1.8||,
7,1,9,a,7-1-9-A,vi ye te agne bhejire anīkam martā naraḥ pitryāsaḥ purutrā,"Agni, the patriarchal men, the mortals who have in many places spread thy lustre,-",वि ये ते अग्ने भेजिरे अनीकं मर्ता नरः पित्र्यासः पुरुत्रा,7-1-9,vi | ye | te | agne | bhejire | anīkam | martāḥ | naraḥ | pitryāsaḥ | puru-trā || uto iti | naḥ | ebhiḥ | su-manāḥ | iha | syāḥ ||7.1.9||,
7,1,9,b,7-1-9-B,uto na ebhiḥ sumanā iha syāḥ,Be gracious to us here for their sake also.,उतो न एभिः सुमना इह स्याः ,7-1-9,vi | ye | te | agne | bhejire | anīkam | martāḥ | naraḥ | pitryāsaḥ | puru-trā || uto iti | naḥ | ebhiḥ | su-manāḥ | iha | syāḥ ||7.1.9||,
7,1,10,a,7-1-10-A,ime naro vṛtrahatyeṣu śūrā viśvā adevīr abhi santu māyāḥ,"Let these men, heroes in the fight with foemen, prevail against all godless arts of 4magic,-",इमे नरो वृत्रहत्येषु शूरा विश्वा अदेवीरभि सन्तु मायाः,7-1-10,ime | naraḥ | vr̥tra-hatyeṣu | śūrāḥ | viśvāḥ | adevīḥ | abhi | santu | māyāḥ || ye | me | dhiyam | panayanta | pra-śastām ||7.1.10||,
