maṇḍala,sūkta,ṛca,paṅktī,index,IAST,Griffith,Devanāgarī,m-s-r,pada pāṭha
2,1,1,A,2-1-1-A,tvam agne dyubhis tvam āśuśukṣaṇis tvam adbhyas tvam aśmanas pari,"THOU, Agni, shining in thy glory through the days, art brought to life from out the waters, from the stone:",त्वमग्ने द्युभिस्त्वमाशुशुक्षणिस्त्वमद्भ्यस्त्वमश्मनस्परि,2-1-1,tvam | agne | dyu-bhiḥ | tvam | āśuśukṣaṇiḥ | tvam | at-bhyaḥ | tvam | aśmanaḥ | pari || tvam | vanebhyaḥ | tvam | oṣadhībhyaḥ | tvam | nr̥ṇām | nr̥-pate | jāyase | śuciḥ ||2.1.1||
2,1,1,B,2-1-1-B,tvaṁ vanebhyas tvam oṣadhībhyas tvaṁ nṛṇāṁ nṛpate jāyase śuciḥ,"From out the forest trees and herbs that grow on ground, thou, Sovran Lord of men art generatad [sic] pure.",त्वं वनेभ्यस्त्वमोषधीभ्यस्त्वं नृणां नृपते जायसे शुचिः,2-1-1,tvam | agne | dyu-bhiḥ | tvam | āśuśukṣaṇiḥ | tvam | at-bhyaḥ | tvam | aśmanaḥ | pari || tvam | vanebhyaḥ | tvam | oṣadhībhyaḥ | tvam | nr̥ṇām | nr̥-pate | jāyase | śuciḥ ||2.1.1||
2,1,2,A,2-1-2-A,tavāgne hotraṁ tava potram ṛtviyaṁ tava neṣṭraṁ tvam agnid ṛtāyataḥ,"Thine is the Herald's task and Cleanser's duly timed; Leader art thou, and Kindler for the pious man.",तवाग्ने होत्रं तव पोत्रमृत्वियं तव नेष्ट्रं त्वमग्निदृतायतः,2-1-2,tava | agne | hotram | tava | potram | r̥tviyam | tava | neṣṭram | tvam | agnit | r̥ta-yataḥ || tava | pra-śāstram | tvam | adhvari-yasi | brahmā | ca | asi | gr̥ha-patiḥ | ca | naḥ | dame ||2.1.2||
2,1,2,B,2-1-2-B,tava praśāstraṁ tvam adhvarīyasi brahmā cāsi gṛhapatiś ca no dame,"Thou art Director, thou the ministering Priest: thou art the Brahman, Lord and Master in our home.",तव प्रशास्त्रं त्वमध्वरीयसि ब्रह्मा चासि गृहपतिश्च नो दमे,2-1-2,tava | agne | hotram | tava | potram | r̥tviyam | tava | neṣṭram | tvam | agnit | r̥ta-yataḥ || tava | pra-śāstram | tvam | adhvari-yasi | brahmā | ca | asi | gr̥ha-patiḥ | ca | naḥ | dame ||2.1.2||
2,1,3,A,2-1-3-A,tvam agna indro vṛṣabhaḥ satām asi tvaṁ viṣṇur urugāyo namasyaḥ,"Hero of Heroes, Agni! Thou art Indra, thou art Visnu of the Mighty Stride, adorable:",त्वमग्न इन्द्रो वृषभः सतामसि त्वं विष्णुरुरुगायो नमस्यः,2-1-3,tvam | agne | indraḥ | vr̥ṣabhaḥ | satām | asi | tvam | viṣṇuḥ | uru-gāyaḥ | namasyaḥ || tvam | brahmā | rayi-vit | brahmaṇaḥ | pate | tvam | vidhartariti vi-dhartaḥ | sacase | puram-dhyā ||2.1.3||
2,1,3,B,2-1-3-B,tvam brahmā rayivid brahmaṇas pate tvaṁ vidhartaḥ sacase puraṁdhyā,"Thou, Brahmanaspati, the Brahman finding wealth: thou, O Sustainer, with thy wisdom tendest us.",त्वं ब्रह्मा रयिविद्ब्रह्मणस्पते त्वं विधर्तः सचसे पुरंध्या,2-1-3,tvam | agne | indraḥ | vr̥ṣabhaḥ | satām | asi | tvam | viṣṇuḥ | uru-gāyaḥ | namasyaḥ || tvam | brahmā | rayi-vit | brahmaṇaḥ | pate | tvam | vidhartariti vi-dhartaḥ | sacase | puram-dhyā ||2.1.3||
2,1,4,A,2-1-4-A,tvam agne rājā varuṇo dhṛtavratas tvam mitro bhavasi dasma īḍyaḥ,"Agni, thou art King Varuna whose laws stand fast; as Mitra, Wonder-Worker, thou must be implored.",त्वमग्ने राजा वरुणो धृतव्रतस्त्वं मित्रो भवसि दस्म ईड्यः,2-1-4,tvam | agne | rājā | varuṇaḥ | dhr̥ta-vrataḥ | tvam | mitraḥ | bhavasi | dasmaḥ | īḍyaḥ || tvam | aryamā | sat-patiḥ | yasya | sam-bhujam | tvam | aṁśaḥ | vidathe | deva | bhājayuḥ ||2.1.4||
2,1,4,B,2-1-4-B,tvam aryamā satpatir yasya sambhujaṁ tvam aṁśo vidathe deva bhājayuḥ,"Aryaman, heroes' Lord, art thou, enrich ing all, and liberal Amsa in the synod, O thou God.",त्वमर्यमा सत्पतिर्यस्य सम्भुजं त्वमंशो विदथे देव भाजयुः,2-1-4,tvam | agne | rājā | varuṇaḥ | dhr̥ta-vrataḥ | tvam | mitraḥ | bhavasi | dasmaḥ | īḍyaḥ || tvam | aryamā | sat-patiḥ | yasya | sam-bhujam | tvam | aṁśaḥ | vidathe | deva | bhājayuḥ ||2.1.4||
2,1,5,A,2-1-5-A,tvam agne tvaṣṭā vidhate suvīryaṁ tava gnāvo mitramahaḥ sajātyam,"Thou givest strength, as Tvastar, to the worshipper: thou wielding Mitra's power hast kinship with the Dames.",त्वमग्ने त्वष्टा विधते सुवीर्यं तव ग्नावो मित्रमहः सजात्यम्,2-1-5,tvam | agne | tvaṣṭā | vidhate | su-vīryam | tava | gnāvaḥ | mitra-mahaḥ | sa-jātyam || tvam | āśu-hemā | rariṣe | su-aśvyam | tvam | narām | śardhaḥ | asi | puru-vasuḥ ||2.1.5||
2,1,5,B,2-1-5-B,tvam āśuhemā rariṣe svaśvyaṁ tvaṁ narāṁ śardho asi purūvasuḥ,"Thou, urging thy fleet coursers, givest noble steeds: a host of heroes art thou with great store of wealth.",त्वमाशुहेमा ररिषे स्वश्व्यं त्वं नरां शर्धो असि पुरूवसुः,2-1-5,tvam | agne | tvaṣṭā | vidhate | su-vīryam | tava | gnāvaḥ | mitra-mahaḥ | sa-jātyam || tvam | āśu-hemā | rariṣe | su-aśvyam | tvam | narām | śardhaḥ | asi | puru-vasuḥ ||2.1.5||
2,1,6,A,2-1-6-A,tvam agne rudro asuro maho divas tvaṁ śardho mārutam pṛkṣa īśiṣe,"Rudra art thou, the Asura of mighty heaven: thou art the Maruts' host, thou art the Lord of food,",त्वमग्ने रुद्रो असुरो महो दिवस्त्वं शर्धो मारुतं पृक्ष ईशिषे,2-1-6,tvam | agne | rudraḥ | asuraḥ | mahaḥ | divaḥ | tvam | śardhaḥ | mārutam | pr̥kṣaḥ | īśiṣe || tvam | vātaiḥ | aruṇaiḥ | yāsi | śam-gayaḥ | tvam | pūṣā | vidhataḥ | pāsi | nu | tmanā ||2.1.6||
2,1,6,B,2-1-6-B,tvaṁ vātair aruṇair yāsi śaṁgayas tvam pūṣā vidhataḥ pāsi nu tmanā,Thou goest with red winds: bliss hast thou in thine home. As Pusan thou thyself protectest worshippers.,त्वं वातैररुणैर्यासि शंगयस्त्वं पूषा विधतः पासि नु त्मना,2-1-6,tvam | agne | rudraḥ | asuraḥ | mahaḥ | divaḥ | tvam | śardhaḥ | mārutam | pr̥kṣaḥ | īśiṣe || tvam | vātaiḥ | aruṇaiḥ | yāsi | śam-gayaḥ | tvam | pūṣā | vidhataḥ | pāsi | nu | tmanā ||2.1.6||
2,1,7,A,2-1-7-A,tvam agne draviṇodā araṁkṛte tvaṁ devaḥ savitā ratnadhā asi,"Giver of wealth art thou to him who honours thee; thou art God Savitar, granter of precious things.",त्वमग्ने द्रविणोदा अरंकृते त्वं देवः सविता रत्नधा असि,2-1-7,tvam | agne | draviṇaḥ-dāḥ | aram-kr̥te | tvam | devaḥ | savitā | ratna-dhāḥ | asi || tvam | bhagaḥ | nr̥-pate | vasvaḥ | īśiṣe | tvam | pāyuḥ | dame | yaḥ | te | avidhat ||2.1.7||
2,1,7,B,2-1-7-B,tvam bhago nṛpate vasva īśiṣe tvam pāyur dame yas te 'vidhat,"As Bhaga, Lord of men! thou rulest over wealth, and guardest in his house him who hath served thee well.",त्वं भगो नृपते वस्व ईशिषे त्वं पायुर्दमे यस्तेऽविधत्,2-1-7,tvam | agne | draviṇaḥ-dāḥ | aram-kr̥te | tvam | devaḥ | savitā | ratna-dhāḥ | asi || tvam | bhagaḥ | nr̥-pate | vasvaḥ | īśiṣe | tvam | pāyuḥ | dame | yaḥ | te | avidhat ||2.1.7||
2,1,8,A,2-1-8-A,tvām agne dama ā viśpatiṁ viśas tvāṁ rājānaṁ suvidatram ṛñjate,"To thee, the people's Lord within the house, the folk press forward to their King most graciously inclined.",त्वामग्ने दम आ विश्पतिं विशस्त्वां राजानं सुविदत्रमृञ्जते,2-1-8,tvām | agne | dame | ā | viśpatim | viśaḥ | tvām | rājānam | su-vidatram | r̥ñjate || tvam | viśvāni | su-anīka | patyase | tvam | sahasrāṇi | śatā | daśa | prati ||2.1.8||
2,1,8,B,2-1-8-B,tvaṁ viśvāni svanīka patyase tvaṁ sahasrāṇi śatā daśa prati,"Lord of the lovely look, all things belong to thee: ten, hundred, yea, a thousand are outweighed by thee.",त्वं विश्वानि स्वनीक पत्यसे त्वं सहस्राणि शता दश प्रति,2-1-8,tvām | agne | dame | ā | viśpatim | viśaḥ | tvām | rājānam | su-vidatram | r̥ñjate || tvam | viśvāni | su-anīka | patyase | tvam | sahasrāṇi | śatā | daśa | prati ||2.1.8||
2,1,9,A,2-1-9-A,tvām agne pitaram iṣṭibhir naras tvām bhrātrāya śamyā tanūrucam,"Agni, men seek thee as a Father with their prayers, win thee, bright-formed, to brotherhood with holy act.",त्वामग्ने पितरमिष्टिभिर्नरस्त्वां भ्रात्राय शम्या तनूरुचम्,2-1-9,tvām | agne | pitaram | iṣṭi-bhiḥ | naraḥ | tvām | bhrātrāya | śamyā | tanū-rucam || tvam | putraḥ | bhavasi | yaḥ | te | avidhat | tvam | sakhā | su-śevaḥ | pāsi | ā-dhr̥ṣaḥ ||2.1.9||
2,1,9,B,2-1-9-B,tvam putro bhavasi yas te 'vidhat tvaṁ sakhā suśevaḥ pāsy ādhṛṣaḥ,"Thou art a Son to him who duly worships thee, and as a trusty Friend thou guardest from attack.",त्वं पुत्रो भवसि यस्तेऽविधत्त्वं सखा सुशेवः पास्याधृषः,2-1-9,tvām | agne | pitaram | iṣṭi-bhiḥ | naraḥ | tvām | bhrātrāya | śamyā | tanū-rucam || tvam | putraḥ | bhavasi | yaḥ | te | avidhat | tvam | sakhā | su-śevaḥ | pāsi | ā-dhr̥ṣaḥ ||2.1.9||
2,1,10,A,2-1-10-A,tvam agna ṛbhur āke namasyas tvaṁ vājasya kṣumato rāya īśiṣe,"A Rbhu art thou, Agni, near to be adored thou art the Sovran Lord of foodful spoil and wealth.",त्वमग्न ऋभुराके नमस्यस्त्वं वाजस्य क्षुमतो राय ईशिषे,2-1-10,tvam | agne | r̥bhuḥ | āke | namasyaḥ | tvam | vājasya | kṣu-mataḥ | rāyaḥ | īśiṣe || tvam | vi | bhāsi | anu | dhakṣi | dāvane | tvam | vi-śikṣuḥ | asi | yajñam | ā-taniḥ ||2.1.10||
2,1,10,B,2-1-10-B,tvaṁ vi bhāsy anu dakṣi dāvane tvaṁ viśikṣur asi yajñam ātaniḥ,"Thou shinest brightly forth, thou burnest to bestow: pervading sacrifice, thou lendest us thine help.",त्वं वि भास्यनु दक्षि दावने त्वं विशिक्षुरसि यज्ञमातनिः,2-1-10,tvam | agne | r̥bhuḥ | āke | namasyaḥ | tvam | vājasya | kṣu-mataḥ | rāyaḥ | īśiṣe || tvam | vi | bhāsi | anu | dhakṣi | dāvane | tvam | vi-śikṣuḥ | asi | yajñam | ā-taniḥ ||2.1.10||
